year,temporal_hotspot_fraction,temporal_hotspot_strong_fraction,structural_hotspot_threshold,structural_hotspot_fraction
2013,0.07874488830566406,0.013404957950115204,46.13917541503906,0.04997289553284645
2014,3.696277053677477e-05,2.464184581185691e-05,40.33708572387695,0.049985986202955246
2015,0.052110541611909866,0.004450865089893341,46.809104919433594,0.049982134252786636
2016,0.004124365281313658,0.0005174708203412592,45.331241607666016,0.050000615417957306
2017,0.388558954000473,0.1621192842721939,46.37160110473633,0.04989897087216377
2018,0.40021437406539917,0.1749882996082306,48.887264251708984,0.049982134252786636
2019,0.002920094644650817,0.0002125385362887755,44.75487518310547,0.04991883412003517
2020,0.018754910677671432,0.001811711466871202,45.61963653564453,0.049951471388339996
2021,0.5623528957366943,0.2816985547542572,48.30790710449219,0.04998582974076271
2022,0.33807167410850525,0.09863363206386566,48.07035446166992,0.049929771572351456
2023,0.08558368682861328,0.018123965710401535,47.00735092163086,0.049967195838689804
2024,0.023049011826515198,0.0013121580705046654,45.8896598815918,0.04999753460288048
2025,0.03750739246606827,0.007925312034785748,45.375247955322266,0.049985215067863464
