year,label,source_file,lst_count,lst_mean,lst_std,lst_min,lst_p05,lst_p25,lst_p50,lst_p75,lst_p95,lst_max,anom_count,anom_mean,anom_std,anom_min,anom_p05,anom_p25,anom_p50,anom_p75,anom_p95,anom_max,z_count,z_mean,z_std,z_min,z_p05,z_p25,z_p50,z_p75,z_p95,z_max
2013,summer,Bologna_LST_2013_summer_median_30m.tif,324656,40.20267105102539,4.136347770690918,28.44750213623047,32.57305145263672,37.361698150634766,40.72502899169922,43.30221939086914,46.13917541503906,56.20866012573242,324656,0.4955359995365143,1.6654963493347168,-9.826805114746094,-2.2401514053344727,-0.3060455322265625,0.3913612365722656,1.3025321960449219,3.3897600173950195,8.43685531616211,324656,0.19939875602722168,0.5656906366348267,-2.3508894443511963,-0.7519094944000244,-0.14056283235549927,0.18168482184410095,0.5545440912246704,1.1386500597000122,2.7246341705322266
2014,summer,Bologna_LST_2014_summer_median_30m.tif,324651,34.426002502441406,3.7205872535705566,24.84832763671875,28.233877182006836,31.711711883544922,34.487144470214844,37.1292724609375,40.33708572387695,51.93613815307617,324651,-5.2811689376831055,1.5552407503128052,-14.24604606628418,-8.37493896484375,-5.872287750244141,-5.071685791015625,-4.358503341674805,-3.2728805541992188,3.105010986328125,324651,-2.1943440437316895,0.4909003973007202,-3.34621262550354,-2.835097074508667,-2.5550951957702637,-2.2720375061035156,-1.9236289262771606,-1.2773194313049316,2.4329025745391846
2015,summer,Bologna_LST_2015_summer_median_30m.tif,324656,40.095970153808594,4.409956932067871,29.40113067626953,32.614070892333984,36.684932708740234,40.42082595825195,43.48337173461914,46.809104919433594,56.22916793823242,324656,0.3888357877731323,1.479461431503296,-7.776256561279297,-2.128274917602539,-0.4110832214355469,0.4459857940673828,1.2612457275390625,2.6184635162353516,8.975982666015625,324656,0.1869996339082718,0.5314819812774658,-1.9344207048416138,-0.7098504304885864,-0.1760472059249878,0.2003503143787384,0.5705536007881165,1.0091196298599243,2.595781087875366
2016,summer,Bologna_LST_2016_summer_median_30m.tif,324656,38.60125732421875,4.134664058685303,27.51780128479004,31.870649337768555,35.594581604003906,38.581932067871094,41.56415557861328,45.331241607666016,57.042659759521484,324656,-1.1058740615844727,1.5670918226242065,-9.814449310302734,-4.120880126953125,-1.8771514892578125,-0.8687686920166016,-0.09636306762695312,0.9712800979614258,7.781833648681641,324656,-0.4001293182373047,0.5180670022964478,-2.515077829360962,-1.2527294158935547,-0.757529079914093,-0.3921305537223816,-0.044842738658189774,0.4306974411010742,2.0132298469543457
2017,summer,Bologna_LST_2017_summer_median_30m.tif,324656,41.570152282714844,3.4311838150024414,30.221454620361328,34.914398193359375,39.511634826660156,42.12812805175781,43.99265670776367,46.37160110473633,57.244319915771484,324656,1.8630180358886719,1.8662761449813843,-6.60479736328125,-0.9285163879394531,0.3632316589355469,1.8643951416015625,3.159073829650879,4.978215217590332,8.601444244384766,324656,0.7386800646781921,0.7255766987800598,-2.160444974899292,-0.4259752631187439,0.1627381145954132,0.7658729553222656,1.2910186052322388,1.8826611042022705,3.0113015174865723
2018,summer,Bologna_LST_2018_summer_median_30m.tif,324656,41.45405960083008,4.815866947174072,29.503671646118164,33.62238693237305,37.61804962158203,41.67865753173828,45.23681640625,48.887264251708984,63.020774841308594,324656,1.746923804283142,2.0141992568969727,-7.989360809326172,-1.546295166015625,0.6186614036560059,1.7531814575195312,2.935154914855957,4.869102478027344,11.986202239990234,324656,0.759989321231842,0.7358520030975342,-2.583589553833008,-0.5338971018791199,0.26175960898399353,0.794528603553772,1.3295509815216064,1.8528693914413452,2.9954373836517334
2019,summer,Bologna_LST_2019_summer_median_30m.tif,324647,38.73766326904297,4.009801864624023,23.99382209777832,31.803998947143555,35.77061080932617,39.104888916015625,41.76069259643555,44.75487518310547,54.29286193847656,324647,-0.9693710803985596,1.2940869331359863,-8.754596710205078,-3.2581660747528076,-1.511688232421875,-0.8750152587890625,-0.3312816619873047,0.917041003704071,6.8677215576171875,324647,-0.39468511939048767,0.4276525378227234,-2.5923547744750977,-1.0853770971298218,-0.6508597731590271,-0.40505802631378174,-0.14906997978687286,0.329476535320282,1.8954145908355713
2020,summer,Bologna_LST_2020_summer_median_30m.tif,324555,39.12938690185547,4.31772518157959,27.801496505737305,31.499794006347656,36.00389099121094,39.537269592285156,42.37422561645508,45.61963653564453,54.56801223754883,324555,-0.5758073329925537,1.5334535837173462,-8.678607940673828,-3.145275831222534,-1.2734756469726562,-0.5020523071289062,0.13448524475097656,1.8361304998397827,8.525588989257812,324555,-0.23639704287052155,0.52768874168396,-2.557980537414551,-1.1123073101043701,-0.5606871843338013,-0.23113039135932922,0.05843795835971832,0.6759218573570251,2.1838059425354004
2021,summer,Bologna_LST_2021_summer_median_30m.tif,324652,42.2716064453125,4.182863235473633,25.70625114440918,34.570884704589844,39.511634826660156,42.93136215209961,45.25048828125,48.30790710449219,56.57609939575195,324652,2.564521074295044,2.0184972286224365,-9.958137512207031,-0.7003010511398315,1.2868833541870117,2.5269012451171875,3.808856964111328,5.899825572967529,10.828289031982422,324652,1.0349880456924438,0.7088761329650879,-2.7391114234924316,-0.28582602739334106,0.6007912755012512,1.1189637184143066,1.556199073791504,2.0366063117980957,2.796266555786133
2022,summer,Bologna_LST_2022_summer_median_30m.tif,324656,41.327144622802734,4.43961763381958,28.5739688873291,33.59503936767578,38.10682678222656,41.67353057861328,44.70189666748047,48.07035446166992,57.36737060546875,324656,1.620013952255249,1.9143527746200562,-7.157199859619141,-1.4598846435546875,0.4933815002441406,1.6251411437988281,2.68129825592041,4.841265678405762,11.865657806396484,324656,0.6532183289527893,0.6947876811027527,-2.135730266571045,-0.5849080085754395,0.2176247388124466,0.7229973077774048,1.1540929079055786,1.6753032207489014,3.0100018978118896
2023,summer,Bologna_LST_2023_summer_median_30m.tif,324653,39.586395263671875,4.9028544425964355,24.668882369995117,31.315221786499023,35.79795455932617,40.03117370605469,43.39963150024414,47.00735092163086,57.264827728271484,324653,-0.12071164697408676,2.1610665321350098,-8.940221786499023,-3.5260825157165527,-1.5537567138671875,-0.10898590087890625,1.0829849243164062,3.6554954051971436,10.279430389404297,324653,-0.07249438762664795,0.7810689806938171,-2.6114962100982666,-1.3322473764419556,-0.6599416732788086,-0.04955083131790161,0.4930001199245453,1.2029255628585815,2.5471484661102295
2024,summer,Bologna_LST_2024_summer_median_30m.tif,324656,39.893150329589844,3.8414864540100098,29.209720611572266,33.316471099853516,37.1275634765625,40.08586120605469,42.724571228027344,45.8896598815918,55.64810562133789,324656,0.18601706624031067,1.3597441911697388,-8.608417510986328,-2.305788993835449,-0.4256744384765625,0.32904815673828125,0.9494552612304688,2.1149673461914062,7.377002716064453,324656,0.10739961266517639,0.4800194501876831,-1.9901697635650635,-0.7616170644760132,-0.18250183761119843,0.14858965575695038,0.42472219467163086,0.8379369378089905,2.1428420543670654
2025,summer,Bologna_LST_2025_summer_median_30m.tif,324656,38.89494705200195,4.410433292388916,28.06126594543457,31.287878036499023,35.36899185180664,39.569740295410156,42.25459289550781,45.375247955322266,53.77161407470703,324656,-0.8121894598007202,1.9088939428329468,-9.924613952636719,-3.573575019836426,-1.9602317810058594,-0.9724235534667969,0.1309356689453125,2.7119340896606445,10.28521728515625,324656,-0.38272982835769653,0.6978134512901306,-2.4559648036956787,-1.4214351177215576,-0.8797640204429626,-0.4454830586910248,0.05620143190026283,0.8814490437507629,2.955604314804077
